Key, Type, Duration, Time Stamp
],,,9/2/2017 - 16:38:47
n,,,9/2/2017 - 16:38:47
s,Press,,9/2/2017 - 16:38:48
s,Hold,1.800000,9/2/2017 - 16:38:48
d,Hold,0.100000,9/2/2017 - 16:38:48
d,Release,,9/2/2017 - 16:38:48
d,Hold,0.100000,9/2/2017 - 16:38:49
s,Hold,13.300000,9/2/2017 - 16:38:50
d,Hold,12.200000,9/2/2017 - 16:38:52
s,Hold,13.000000,9/2/2017 - 16:38:52
s,Hold,1.200000,9/2/2017 - 16:38:52
s,Hold,3.000000,9/2/2017 - 16:38:52
s,Hold,2.100000,9/2/2017 - 16:38:52
s,Release,,9/2/2017 - 16:38:52
a,Hold,1.600000,9/2/2017 - 16:38:54
a,Release,,9/2/2017 - 16:38:54
a,Hold,0.800000,9/2/2017 - 16:38:55
w,Hold,21.500000,9/2/2017 - 16:38:56
a,Hold,3.100000,9/2/2017 - 16:38:57
w,Hold,16.400000,9/2/2017 - 16:38:58
a,Hold,2.300000,9/2/2017 - 16:38:58
a,Release,,9/2/2017 - 16:38:58
